A,B,C,D,x,y
35.8570216,14.98789669,17.40790471,63.31837331,25,5
41.22276912,11.99336105,16.8281114,71.16019623,30,5
45.49469869,11.22580688,15.55622168,72.30729908,30,5
40.56160691,16.30562702,18.57635775,64.53779637,30,5
45.7846867,14.55366197,23.5375701,49.99992837,30,5
49.84862982,14.71447683,15.29191127,55.53862222,30,5
51.46653151,16.59284426,15.61070796,69.39752245,30,5
48.76249321,14.93626934,20.17639473,69.05001105,30,5
48.29930577,15.4836098,20.8906778,63.57216355,30,5
51.12142849,14.03003556,22.28428607,70.67273583,30,5
56.16689714,16.62221416,17.40246728,78.078065,30,5
58.37763711,19.16662158,21.79116457,56.17967921,30,5
40.39196168,14.46502322,22.69928687,86.88063693,30,5
50.06666235,23.58322523,27.3258434,83.3767608,35,5
46.99541108,17.08290583,24.49860224,105.3761734,35,5
41.01580872,23.32677931,27.71900972,71.09196123,35,5
41.05091096,21.89434585,26.75132473,77.40416302,35,5
54.53669311,19.98024766,28.01879273,107.4262681,35,5
43.51711003,21.66857263,24.90117941,93.88384928,35,5
62.12482883,25.33758479,22.63411499,94.5728661,35,5
62.02002584,25.13022435,20.14177564,97.20044094,35,5
54.80334206,22.46889883,21.22538674,79.4994749,35,5
44.07508785,26.92574044,29.90627544,79.84077929,35,5
59.66394838,23.08558374,26.17033335,99.72593173,35,5
41.07576093,20.98352018,22.0152417,106.3194034,35,5
57.49002013,25.17389868,26.37788195,122.9617894,40,5
50.85989469,17.67059963,28.14338534,125.5322285,40,5
52.269438,21.84947518,26.58017126,118.2497612,40,5
53.49108782,24.84558881,25.34115083,107.887269,40,5
60.54607988,20.60067093,29.08432164,127.8127417,40,5
56.28416615,20.95761546,29.78914787,129.483071,40,5
59.43630028,21.84879627,30.78059448,97.96545791,40,5
48.39813971,20.54245705,21.49252384,131.7092581,40,5
58.98810981,20.55964871,29.9026378,96.48424091,40,5
43.20425777,24.36646436,23.43437898,128.560208,40,5
44.54892614,17.69407333,23.47578169,128.5887629,40,5
54.18844222,22.77785128,32.30531894,139.1333221,40,5
43.69146496,23.25816487,22.78317657,142.1660246,45,5
50.56372386,20.68005257,21.41245311,115.0255268,45,5
55.77117297,26.08063051,28.37624879,120.7667591,45,5
56.92446107,24.43945195,23.41071347,152.627883,45,5
55.65467624,24.47637419,25.592276,151.9899136,45,5
52.1023788,23.71993722,24.16422377,115.9020723,45,5
53.33387379,25.00213064,26.23600956,124.1687747,45,5
52.84108931,23.45182957,26.08225562,120.5482208,45,5
49.80301707,19.5914644,18.39532275,102.6797165,45,5
41.01278157,15.8443267,23.78420364,122.0174125,45,5
48.228129,15.01246897,26.67634286,103.2618351,45,5
37.13844777,22.34373793,22.97114577,107.5468636,45,5
34.62271494,22.13062728,20.65371868,146.1855728,50,5
28.49059961,26.82155913,18.97748384,138.3947025,50,5
38.76941678,17.14009495,22.5687881,156.6795256,50,5
39.74434501,18.14171007,15.69163193,133.4342357,50,5
39.80495078,17.02739168,18.818385,132.3136985,50,5
38.53524505,14.80854084,16.37715259,129.0627647,50,5
38.09117641,20.20013486,16.9481334,102.7655038,50,5
40.66006144,22.49040756,14.30520848,140.6671593,50,5
35.13887305,20.16797935,16.76982304,122.0744055,50,5
38.75262947,23.0225556,19.57323661,96.6813171,50,5
26.37024796,23.22643526,20.86795238,116.2219063,50,5
34.7937119,24.54266372,14.95114251,122.3228259,50,5
28.12614976,21.59496853,15.3668525,123.6662626,55,5
31.2922377,17.71816092,13.23287153,117.2858165,55,5
31.22722925,24.00072967,20.47776289,165.2093783,55,5
28.09219409,23.61937004,16.30738272,119.8442153,55,5
28.82925781,24.39607347,15.76730164,121.6858033,55,5
31.94315543,25.17372154,18.73688352,154.1894911,55,5
24.20937153,19.91762106,16.46332164,131.9668447,55,5
23.89217436,25.56119813,17.3847614,153.4203802,55,5
31.14183092,24.01441223,16.22096696,123.7351798,55,5
23.32590831,16.37740838,12.20213992,123.4091924,55,5
